Date,Clients per Day,Requests per Day,Values per Day
10/1/2013,1,5,3.67
10/2/2013,0,0,0
10/3/2013,0,0,0
10/4/2013,0,0,0
10/5/2013,0,0,0
10/6/2013,0,0,0
10/7/2013,0,0,0
10/8/2013,0,0,0
10/9/2013,0,0,0
10/10/2013,0,0,0
10/11/2013,0,0,0
10/12/2013,0,0,0
10/13/2013,0,0,0
10/14/2013,0,0,0
10/15/2013,0,0,0
10/16/2013,0,0,0
10/17/2013,0,0,0
10/18/2013,0,0,0
10/19/2013,0,0,0
10/20/2013,0,0,0
10/21/2013,0,0,0
10/22/2013,0,0,0
10/23/2013,0,0,0
10/24/2013,0,0,0
10/25/2013,0,0,0
10/26/2013,0,0,0
10/27/2013,0,0,0
10/28/2013,0,0,0
10/29/2013,0,0,0
10/30/2013,0,0,0
10/31/2013,0,0,0
11/1/2013,1,1,3.75
